rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
49,0.8853221181955035,1,True,0,12,x_R01_EXIT_B | x_R02_EXIT_D | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_E | x_R10_EXIT_B | x_R11_EXIT_B | x_R12_EXIT_E
50,0.8871034711153101,1,True,0,12,x_R01_EXIT_A | x_R02_EXIT_B | x_R03_EXIT_D | x_R04_EXIT_C | x_R05_EXIT_E | x_R06_EXIT_C | x_R07_EXIT_A | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_C | x_R11_EXIT_C | x_R12_EXIT_B
51,0.887421877489615,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_C | x_R06_EXIT_D | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_E | x_R10_EXIT_B | x_R11_EXIT_B | x_R12_EXIT_E
52,0.887470477868348,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_D | x_R03_EXIT_C | x_R04_EXIT_E | x_R05_EXIT_D | x_R06_EXIT_A | x_R07_EXIT_E | x_R08_EXIT_D | x_R09_EXIT_A | x_R10_EXIT_B | x_R11_EXIT_B | x_R12_EXIT_C
53,0.8878812127908731,1,True,0,12,x_R01_EXIT_B | x_R02_EXIT_C | x_R03_EXIT_C | x_R04_EXIT_D | x_R05_EXIT_A | x_R06_EXIT_D | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_A | x_R10_EXIT_A | x_R11_EXIT_E | x_R12_EXIT_E
54,0.888254771331404,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_A | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_D | x_R08_EXIT_A | x_R09_EXIT_B | x_R10_EXIT_B | x_R11_EXIT_B | x_R12_EXIT_C
55,0.8900714282525399,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_D | x_R04_EXIT_E | x_R05_EXIT_A | x_R06_EXIT_A | x_R07_EXIT_C | x_R08_EXIT_B | x_R09_EXIT_A | x_R10_EXIT_C | x_R11_EXIT_B | x_R12_EXIT_B
56,0.8908483419232169,1,True,0,12,x_R01_EXIT_C | x_R02_EXIT_D | x_R03_EXIT_C | x_R04_EXIT_C | x_R05_EXIT_E | x_R06_EXIT_A | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_E | x_R11_EXIT_B | x_R12_EXIT_D
57,0.891692104151943,1,True,0,12,x_R01_EXIT_E | x_R02_EXIT_C | x_R03_EXIT_D | x_R04_EXIT_A | x_R05_EXIT_B | x_R06_EXIT_A | x_R07_EXIT_E | x_R08_EXIT_A | x_R09_EXIT_C | x_R10_EXIT_A | x_R11_EXIT_E | x_R12_EXIT_B
58,0.8945370243028066,1,True,0,12,x_R01_EXIT_B | x_R02_EXIT_D | x_R03_EXIT_D | x_R04_EXIT_D | x_R05_EXIT_D | x_R06_EXIT_C | x_R07_EXIT_D | x_R08_EXIT_A | x_R09_EXIT_E | x_R10_EXIT_C | x_R11_EXIT_E | x_R12_EXIT_B
